通番	文番号	単語	標準ペルシア語１	標準ペルシア語２	標準ペルシア語3	標準ペルシア語４
4825	2007	تونم	تو	بودن		
3342	3005	تونم	تو	بودن		
5655	9002	جنگله	جنگل	بودن		
5657	9002	جنگله	جنگل	بودن		
3877	5010	جوریه	جور	بودن		
3903	5019	چیه	چه	بودن		
3925	5025	چیه	چه	بودن		
2846	2008	حنائیه	حنایی	بودن		
4861	2015	حنائیه	حنایی	بودن		
2930	2019	حنائیه	حنایی	بودن		
5900	2021	حنائیه	حنایی	بودن		
4925	2031	حنائیه	حنایی	بودن		
3947	5031	حیفه	حیف	بودن		
3595	4005	سفیده	سفید	بودن		
3609	4010	سیاست	سیاه	بودن		
5728	9024	قرمزه	قرمز	بودن		
3940	5030	قویه	قوی	بودن		
3058	2037	کیه	کی	بودن		
3059	2037	کیه	کی	بودن		
3102	2044	کیه	کی	بودن		
3103	2044	کیه	کی	بودن		
3339	3005	کیه	کی	بودن		
3404	3018	کیه	کی	بودن		
3681	4022	کیه	کی	بودن		
3682	4022	کیه	کی	بودن		
3732	4027	کیه	کی	بودن		
3733	4027	کیه	کی	بودن		
174	1024	گرسنمه	گرسنه	بودن		
4325	8009	گوشته	گوشت	بودن		
5776	10014	مکاریست	مکاری	بودن		
716	2040	منم	من	بودن		
3064	2040	منم	من	بودن		
3065	2040	منم	من	بودن		
3110	2046	منم	من	بودن		
3111	2046	منم	من	بودن		
3410	3020	منم	من	بودن		
1054	3021	منم	من	بودن		
3695	4023	منم	من	بودن		
3696	4023	منم	من	بودن		
3746	4028	منم	من	بودن		
3747	4028	منم	من	بودن		
5553	6008	منی	من	بودن		
3493	3034	ازت	از	تو		
1686	5032	برات	برای	تو		
2933	2020	پات	پا	تو		
5142	3023	جنگت	جنگ	تو		
2522	1018	بخورمت	خوردن	تو		
4708	1031	بخوریمت	خوردن	تو		
1918	6007	میخورمت	خوردن	تو		
4183	6011	میخورمت	خوردن	تو		
5379	5012	درت میاره	درآوردن	تو		
6150	9019	سرت	سر	تو		
4199	6014	کارت	کار	تو		
3424	3023	منگولت	منگول	تو		
4153	6005	یالات	یال	تو		
646	2029	همینجور	همین	جور		
4787	1055	یخاله	یک	خاله		
2771	1055	واونارو	آنها	را		
2774	1055	اینو	این	را		
3528	3042	اینو	این	را		
3611	4011	اینو	این	را		
4304	8004	اینو	این	را		
2123	8014	اینو	این	را		
5712	9021	اینو	این	را		
179	1025	تو رو	تو	را		
3817	4037	گرگو	گرگ	را		
4302	8004	گوشتو	گوشت	را		
6124	8005	گوشتو	گوشت	را		
2102	8011	گوشتو	گوشت	را		
159	1022	مسافتی رو	مسافت	را		
1565	5009	مرا	من	را		
2536	1020	منو	من	را		
2574	1027	منو	من	را		
3061	2039	منو	من	را		
3107	2045	منو	من	را		
5150	3025	منو	من	را		
5161	3031	منو	من	را		
4097	5064	منو	من	را		
4162	6005	منو	من	را		
4393	9007	منو	من	را		
6156	9020	منو	من	را		
3301	2063	منگولو	منگول	را		
5051	2061	اونروز	آن	روز		
5089	3004	بخرتون	خوردن	شما		
3548	3045	میخورتون	خوردن	شما		
624	2027	مامانتون	مامان	شما		
627	2027	مامانتون	مامان	شما		
352	1046	همانطور	همان	طور		
887	2062	هرکاری	هر	کار		
892	2062	هرکاری	هر	کار		
1037	3017	بناءکرد	بناء	کردن		
1746	5044	فرارکنه	فرار	کردن		
5505	5064	کارکنم	کار	کردن		
98	1011	وقتیکه	وقت	که		
2530	1020	وقتیکه	وقت	که		
2561	1027	وقتیکه	وقت	که		
2811	2005	وقتیکه	وقت	که		
3571	4003	وقتیکه	وقت	که		
5213	4003	وقتیکه	وقت	که		
2971	2024	واگذاشتن	باز	گذاشتن		
5758	10005	خودمون	خود	ما		
3971	5036	برام	برای	من		
5437	5040	برام	برای	من		
4662	1020	چله ام	چله	من		
643	2028	حبه انگورم	حبهانگور	من		
1278	4003	خدم	خود	من		
2474	1011	دخترم	دختر	من		
2515	1017	دخترم	دختر	من		
4655	1019	دخترم	دختر	من		
2558	1027	دخترم	دختر	من		
3437	3025	دلم	دل	من		
3469	3031	دلم	دل	من		
4228	6018	دلم	دل	من		
4346	8011	روزم	روزه	من		
3070	2040	سمم	سم	من		
3068	2040	شاخم	شاخ	من		
5041	2059	طرفم	طرف	من		
4103	5065	همسرم	همسر	من		
5824	1032	اینا	این	ها		
998	3009	اینا	این	ها		
5669	9008	اینا	این	ها		
4423	9014	اینا	این	ها		
4943	2039	بچه های	بچه	ها		
4968	2045	بچه های	بچه	ها		
